,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
174,Aurora University,"Aurora, IL","
                  68.64
              ","
                  87%
              ","
                  $41,800
              ","
                  $18,500
              ","
                  92%
              ","
                  54%
              ","
                  $49,800
              ","$13,570",1050/21,No,"4,000",94%,80%,19%,"$11,700",4.2 years,"$21,250",77%
175,Saint Martin's University,"Lacey, WA","
                  68.64
              ","
                  96%
              ","
                  $57,900
              ","
                  $25,200
              ","
                  83%
              ","
                  62%
              ","
                  $55,280
              ","$17,630",1070/21,No,"1,350",99%,71%,14%,"$17,380",4.2 years,"$22,933",74%
176,Lake Forest College,"Lake Forest, IL","
                  68.63
              ","
                  55%
              ","
                  $66,400
              ","
                  $28,500
              ","
                  98%
              ","
                  70%
              ","
                  $59,020
              ","$15,930",NA/NA,No,"1,530",100%,87%,19%,"$25,850",4.1 years,"$27,000",75%
177,Elmhurst University,"Elmhurst, IL","
                  68.57
              ","
                  68%
              ","
                  $55,600
              ","
                  $23,000
              ","
                  98%
              ","
                  63%
              ","
                  $56,180
              ","$15,130",1100/23,Yes,"2,810",100%,82%,7%,"$14,860",4.2 years,"$20,068",76%
178,Appalachian State University,"Boone, NC","
                  68.50
              ","
                  77%
              ","
                  $20,800
              ","
                  $11,300
              ","
                  48%
              ","
                  71%
              ","
                  $45,600
              ","$7,350",1190/25,No,"17,400",74%,61%,4%,"$3,070",4.3 years,"$20,271",67%
179,University of Wisconsin-Whitewater,"Whitewater, WI","
                  68.44
              ","
                  79%
              ","
                  $19,700
              ","
                  $13,200
              ","
                  44%
              ","
                  57%
              ","
                  $49,600
              ","$8,140",NA/22,No,"10,410",64%,69%,7%,"$1,920",4.4 years,"$23,223",75%
180,Bryn Mawr College,"Bryn Mawr, PA","
                  68.32
              ","
                  33%
              ","
                  $75,600
              ","
                  $39,100
              ","
                  70%
              ","
                  87%
              ","
                  $65,770
              ","$16,440",NA/NA,No,"1,380",100%,100%,22%,"$19,390",4.1 years,"$25,000",75%
181,St. Catherine University,"Saint Paul, MN","
                  68.32
              ","
                  67%
              ","
                  $56,600
              ","
                  $20,000
              ","
                  76%
              ","
                  54%
              ","
                  $52,600
              ","$14,390",1180/24,No,"3,110",74%,92%,13%,"$24,360",4.2 years,"$23,788",76%
182,St. Joseph's College-New York,"Brooklyn, NY","
                  68.32
              ","
                  71%
              ","
                  $44,400
              ","
                  $17,200
              ","
                  89%
              ","
                  68%
              ","
                  $56,800
              ","$11,020",1090/23,No,950,100%,67%,17%,"$13,880",4.2 years,"$21,809",78%
183,University at Buffalo,"Buffalo, NY","
                  68.32
              ","
                  61%
              ","
                  $29,500
              ","
                  $19,100
              ","
                  60%
              ","
                  72%
              ","
                  $62,020
              ","$14,100",1250/27,No,"21,760",78%,47%,5%,"$4,030",4.2 years,"$19,250",78%
184,University of St. Thomas,"Saint Paul, MN","
                  68.31
              ","
                  81%
              ","
                  $64,200
              ","
                  $33,600
              ","
                  95%
              ","
                  77%
              ","
                  $67,400
              ","$32,440",1260/27,No,"6,310",98%,89%,13%,"$22,910",4.2 years,"$24,201",85%
185,The University of Texas at Dallas,"Richardson, TX","
                  68.27
              ","
                  79%
              ","
                  $31,600
              ","
                  $11,800
              ","
                  68%
              ","
                  72%
              ","
                  $60,600
              ","$11,070",1350/30,Yes,"20,970",88%,64%,24%,"$12,450",4.3 years,"$18,700",77%
186,Stonehill College,"Easton, MA","
                  68.20
              ","
                  68%
              ","
                  $67,600
              ","
                  $37,500
              ","
                  99%
              ","
                  79%
              ","
                  $65,770
              ","$24,640",NA/NA,No,"2,440",99%,90%,35%,"$20,340",4.1 years,"$25,000",82%
187,Ramapo College of New Jersey,"Mahwah, NJ","
                  68.10
              ","
                  66%
              ","
                  $35,200
              ","
                  $18,300
              ","
                  44%
              ","
                  73%
              ","
                  $60,020
              ","$12,200",1130/24,No,"5,240",54%,51%,9%,"$10,640",4.2 years,"$21,500",78%
188,University of Wisconsin-River Falls,"River Falls, WI","
                  68.10
              ","
                  79%
              ","
                  $19,200
              ","
                  $14,400
              ","
                  52%
              ","
                  55%
              ","
                  $47,440
              ","$8,440",NA/23,No,"5,400",59%,50%,12%,"$1,760",4.4 years,"$20,500",74%
189,University of Wisconsin-Platteville,"Platteville, WI","
                  68.08
              ","
                  85%
              ","
                  $20,000
              ","
                  $15,500
              ","
                  54%
              ","
                  53%
              ","
                  $52,810
              ","$8,890",NA/23,No,"7,220",75%,59%,13%,"$2,990",4.6 years,"$21,986",80%
190,Le Moyne College,"Syracuse, NY","
                  68.07
              ","
                  74%
              ","
                  $54,600
              ","
                  $25,300
              ","
                  88%
              ","
                  75%
              ","
                  $59,540
              ","$18,410",1180/25,No,"2,640",100%,79%,15%,"$17,840",4.1 years,"$24,098",77%
191,Boston University,"Boston, MA","
                  68.05
              ","
                  19%
              ","
                  $79,800
              ","
                  $30,800
              ","
                  49%
              ","
                  88%
              ","
                  $75,640
              ","$12,980",1430/32,No,"16,890",98%,87%,5%,"$23,160",4.1 years,"$24,848",83%
192,Cedarville University,"Cedarville, OH","
                  68.01
              ","
                  79%
              ","
                  $45,500
              ","
                  $26,400
              ","
                  87%
              ","
                  73%
              ","
                  $49,070
              ","$15,440",1240/26,No,"3,470",74%,25%,27%,"$22,460",4.1 years,"$21,500",67%
193,Wofford College,"Spartanburg, SC","
                  68.01
              ","
                  60%
              ","
                  $67,000
              ","
                  $32,100
              ","
                  96%
              ","
                  81%
              ","
                  $67,530
              ","$20,360",1270/28,No,"1,720",100%,93%,28%,"$21,110",4.1 years,"$25,558",78%
194,Holy Family University,"Philadelphia, PA","
                  67.99
              ","
                  73%
              ","
                  $49,600
              ","
                  $16,100
              ","
                  75%
              ","
                  60%
              ","
                  $58,840
              ","$11,660",1020/20,Yes,"1,950",98%,72%,11%,"$12,970",4.2 years,"$25,000",76%
195,Fairfield University,"Fairfield, CT","
                  67.95
              ","
                  57%
              ","
                  $71,800
              ","
                  $45,600
              ","
                  87%
              ","
                  81%
              ","
                  $86,060
              ","$21,040",1280/28,No,"4,250",84%,82%,51%,"$17,390",4 years,"$26,322",89%
196,Concordia University-Saint Paul,"Saint Paul, MN","
                  67.91
              ","
                  98%
              ","
                  $38,000
              ","
                  $17,400
              ","
                  70%
              ","
                  57%
              ","
                  $53,160
              ","$14,420",NA/NA,No,"2,750",96%,49%,10%,"$5,030",4.3 years,"$18,194",76%
197,University of Arizona,"Tucson, AZ","
                  67.87
              ","
                  85%
              ","
                  $31,300
              ","
                  $16,500
              ","
                  77%
              ","
                  64%
              ","
                  $55,210
              ","$8,990",1240/25,No,"33,720",94%,65%,26%,"$10,380",4.3 years,"$20,137",72%
198,Luther College,"Decorah, IA","
                  67.85
              ","
                  62%
              ","
                  $61,400
              ","
                  $26,700
              ","
                  98%
              ","
                  79%
              ","
                  $51,980
              ","$21,840",1150/25,No,"1,920",99%,90%,22%,"$22,780",4.1 years,"$27,000",78%
199,Grand Valley State University,"Allendale, MI","
                  67.84
              ","
                  83%
              ","
                  $26,500
              ","
                  $17,800
              ","
                  73%
              ","
                  66%
              ","
                  $50,270
              ","$10,260",1150/24,No,"21,020",84%,68%,24%,"$4,680",4.5 years,"$24,918",73%
200,Hope College,"Holland, MI","
                  67.79
              ","
                  86%
              ","
                  $51,800
              ","
                  $32,000
              ","
                  93%
              ","
                  79%
              ","
                  $53,800
              ","$17,550",1230/26,No,"2,970",86%,84%,35%,"$11,330",4.2 years,"$26,960",74%
201,Elizabethtown College,"Elizabethtown, PA","
                  67.76
              ","
                  81%
              ","
                  $48,500
              ","
                  $27,200
              ","
                  93%
              ","
                  72%
              ","
                  $58,290
              ","$18,070",1190/25,No,"1,690",100%,78%,27%,"$12,420",4.1 years,"$27,000",80%
202,University of Rochester,"Rochester, NY","
                  67.75
              ","
                  30%
              ","
                  $80,200
              ","
                  $38,300
              ","
                  75%
              ","
                  87%
              ","
                  $68,340
              ","$12,920",1410/32,No,"6,520",99%,97%,25%,"$15,190",4.1 years,"$20,000",77%
203,Western Washington University,"Bellingham, WA","
                  67.73
              ","
                  90%
              ","
                  $26,500
              ","
                  $19,400
              ","
                  57%
              ","
                  68%
              ","
                  $54,980
              ","$9,980",1170/25,No,"15,100",N/A,N/A,N/A,N/A,4.5 years,"$18,993",71%
204,Fitchburg State University,"Fitchburg, MA","
                  67.72
              ","
                  88%
              ","
                  $26,300
              ","
                  $16,700
              ","
                  58%
              ","
                  61%
              ","
                  $56,870
              ","$12,180",1070/22,No,"3,820",71%,75%,6%,"$1,610",4.4 years,"$24,687",66%
205,University of Wisconsin-Stevens Point,"Stevens Point, WI","
                  67.72
              ","
                  85%
              ","
                  $20,100
              ","
                  $13,900
              ","
                  61%
              ","
                  61%
              ","
                  $45,860
              ","$7,900",NA/22,No,"7,350",86%,76%,15%,"$1,370",4.5 years,"$22,140",71%
206,University of Houston,"Houston, TX","
                  67.68
              ","
                  65%
              ","
                  $25,300
              ","
                  $15,300
              ","
                  82%
              ","
                  59%
              ","
                  $56,760
              ","$10,530",1230/25,No,"37,630",85%,57%,4%,"$4,380",4.5 years,"$18,500",75%
207,Oklahoma State University,"Stillwater, OK","
                  67.67
              ","
                  70%
              ","
                  $24,900
              ","
                  $15,600
              ","
                  77%
              ","
                  61%
              ","
                  $52,700
              ","$8,610",1170/25,No,"19,780",75%,74%,28%,"$6,860",4.4 years,"$20,500",72%
208,Salisbury University,"Salisbury, MD","
                  67.66
              ","
                  74%
              ","
                  $27,000
              ","
                  $19,600
              ","
                  76%
              ","
                  67%
              ","
                  $53,390
              ","$9,720",NA/NA,No,"7,460",96%,55%,23%,"$2,820",4.3 years,"$21,500",76%
209,Colorado State University-Fort Collins,"Fort Collins, CO","
                  67.62
              ","
                  81%
              ","
                  $26,200
              ","
                  $18,600
              ","
                  60%
              ","
                  72%
              ","
                  $54,980
              ","$11,920",1180/26,No,"24,370",73%,67%,21%,"$5,890",4.4 years,"$20,500",73%
210,Providence College,"Providence, RI","
                  67.58
              ","
                  47%
              ","
                  $72,900
              ","
                  $39,400
              ","
                  71%
              ","
                  86%
              ","
                  $69,530
              ","$19,040",1280/29,No,"4,050",99%,91%,13%,"$23,730",4.1 years,"$27,000",83%
211,University of Portland,"Portland, OR","
                  67.56
              ","
                  77%
              ","
                  $68,300
              ","
                  $39,400
              ","
                  99%
              ","
                  81%
              ","
                  $71,540
              ","$28,530",1250/26,No,"3,770",68%,79%,43%,"$20,950",4.1 years,"$23,250",84%
212,Whitworth University,"Spokane, WA","
                  67.43
              ","
                  91%
              ","
                  $64,700
              ","
                  $27,200
              ","
                  95%
              ","
                  78%
              ","
                  $55,250
              ","$14,300",1170/25,No,"2,400",99%,84%,23%,"$26,040",4.2 years,"$25,000",71%
213,University of South Florida,"Tampa, FL","
                  67.41
              ","
                  48%
              ","
                  $24,500
              ","
                  $10,600
              ","
                  67%
              ","
                  71%
              ","
                  $50,260
              ","$4,180",1250/28,Yes,"31,770",86%,65%,11%,"$3,180",4.3 years,"$18,341",72%
214,Loras College,"Dubuque, IA","
                  67.36
              ","
                  75%
              ","
                  $48,200
              ","
                  $23,700
              ","
                  96%
              ","
                  67%
              ","
                  $52,440
              ","$17,260",1060/23,No,"1,290",100%,88%,20%,"$18,880",4.1 years,"$26,000",78%
215,University of Dayton,"Dayton, OH","
                  67.35
              ","
                  72%
              ","
                  $64,000
              ","
                  $34,600
              ","
                  92%
              ","
                  79%
              ","
                  $66,380
              ","$19,330",1220/26,No,"8,400",99%,85%,41%,"$23,040",4.2 years,"$25,000",85%
216,Ripon College,"Ripon, WI","
                  67.34
              ","
                  70%
              ","
                  $59,800
              ","
                  $22,800
              ","
                  98%
              ","
                  67%
              ","
                  $49,100
              ","$14,180",1110/22,No,770,100%,86%,11%,"$23,530",4.1 years,"$27,000",69%
217,Grinnell College,"Grinnell, IA","
                  67.33
              ","
                  23%
              ","
                  $75,700
              ","
                  $33,900
              ","
                  86%
              ","
                  84%
              ","
                  $59,490
              ","$12,840",1450/33,No,"1,700",100%,100%,34%,"$15,830",4.1 years,"$17,000",72%
218,Taylor University,"Upland, IN","
                  67.29
              ","
                  68%
              ","
                  $52,000
              ","
                  $27,400
              ","
                  84%
              ","
                  82%
              ","
                  $44,550
              ","$16,330",1200/25,No,"1,830",100%,82%,29%,"$15,760",4.1 years,"$21,500",69%
219,Fontbonne University,"Saint Louis, MO","
                  67.24
              ","
                  79%
              ","
                  $45,300
              ","
                  $17,500
              ","
                  90%
              ","
                  63%
              ","
                  $45,220
              ","$10,980",1050/21,Yes,860,99%,N/A,16%,"$11,180",4.3 years,"$25,000",70%
