,college_names,college_location,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,median_sat_act_score,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree,median_student_debt,percent_earning_more_than_a_high_school_grad
0,University of Michigan,"Ann Arbor, MI","
                  89.41
              ","
                  23%
              ","
                  $32,400
              ","
                  $18,800
              ","
                  53%
              ","
                  92%
              ","
                  $75,840
              ","$2,670",1440/33,No,"31,050",81%,92%,11%,"$5,670",4.2 years,"$18,526",81%
1,University of North Carolina at Chapel Hill,"Chapel Hill, NC","
                  86.22
              ","
                  23%
              ","
                  $25,200
              ","
                  $10,600
              ","
                  53%
              ","
                  89%
              ","
                  $61,920
              ","$3,750",1410/31,No,"19,010",90%,100%,5%,"$7,030",4.1 years,"$14,500",78%
2,University of Virginia,"Charlottesville, VA","
                  86.11
              ","
                  24%
              ","
                  $36,700
              ","
                  $20,100
              ","
                  48%
              ","
                  94%
              ","
                  $77,050
              ","$12,480",1430/32,No,"16,720",91%,100%,4%,"$5,630",4.1 years,"$18,250",84%
3,Massachusetts Maritime Academy,"Buzzards Bay, MA","
                  86.07
              ","
                  91%
              ","
                  $31,600
              ","
                  $18,600
              ","
                  43%
              ","
                  73%
              ","
                  $91,670
              ","$6,380",1100/22,No,"1,650",56%,71%,11%,"$5,530",4.2 years,"$26,000",91%
4,Virginia Military Institute,"Lexington, VA","
                  85.14
              ","
                  60%
              ","
                  $33,300
              ","
                  $20,000
              ","
                  85%
              ","
                  78%
              ","
                  $71,910
              ","$10,560",1180/25,No,"1,700",77%,88%,14%,"$13,100",4.1 years,"$21,500",85%
5,Georgia Institute of Technology,"Atlanta, GA","
                  84.87
              ","
                  21%
              ","
                  $30,600
              ","
                  $18,400
              ","
                  71%
              ","
                  87%
              ","
                  $88,200
              ","$8,820",1410/32,Yes,"15,170",92%,60%,34%,"$10,200",4.5 years,"$22,250",89%
6,University of Illinois at Urbana-Champaign,"Champaign, IL","
                  84.78
              ","
                  59%
              ","
                  $32,000
              ","
                  $14,300
              ","
                  61%
              ","
                  84%
              ","
                  $71,540
              ","$4,860",1340/29,No,"33,080",84%,70%,12%,"$6,600",4.2 years,"$19,500",84%
7,University of Florida,"Gainesville, FL","
                  83.65
              ","
                  37%
              ","
                  $22,000
              ","
                  $10,600
              ","
                  85%
              ","
                  88%
              ","
                  $64,460
              ",$70,1390/31,Yes,"34,520",68%,98%,7%,"$3,310",4.3 years,"$15,580",77%
8,"University of California, Irvine","Irvine, CA","
                  83.49
              ","
                  27%
              ","
                  $37,100
              ","
                  $13,800
              ","
                  69%
              ","
                  83%
              ","
                  $71,960
              ","$6,540",1300/29,No,"30,370",97%,82%,3%,"$9,230",4.2 years,"$15,060",77%
9,"University of California, Davis","Davis, CA","
                  83.13
              ","
                  39%
              ","
                  $38,700
              ","
                  $18,000
              ","
                  69%
              ","
                  86%
              ","
                  $69,770
              ","$10,010",1290/28,No,"30,960",97%,79%,4%,"$6,600",4.3 years,"$13,199",78%
10,Washington and Lee University,"Lexington, VA","
                  82.39
              ","
                  19%
              ","
                  $79,800
              ","
                  $28,700
              ","
                  61%
              ","
                  95%
              ","
                  $86,020
              ",$210,1430/33,No,"1,840",100%,100%,8%,"$40,950",4 years,"$19,500",86%
11,"University of California, San Diego","La Jolla, CA","
                  82.21
              ","
                  31%
              ","
                  $36,300
              ","
                  $16,100
              ","
                  59%
              ","
                  86%
              ","
                  $74,770
              ","$9,820",1370/30,No,"30,790",96%,83%,1%,"$10,300",4.3 years,"$16,500",79%
12,Babson College,"Wellesley, MA","
                  82.04
              ","
                  26%
              ","
                  $77,000
              ","
                  $33,300
              ","
                  43%
              ","
                  91%
              ","
                  $106,600
              ","$21,450",1360/30,No,"2,320",97%,96%,5%,"$21,910",4 years,"$22,750",85%
13,New Jersey Institute of Technology,"Newark, NJ","
                  81.81
              ","
                  73%
              ","
                  $39,700
              ","
                  $19,400
              ","
                  69%
              ","
                  65%
              ","
                  $80,040
              ","$12,780",1290/28,No,"8,130",96%,55%,10%,"$14,680",4.5 years,"$21,500",85%
14,California State University Maritime Academy,"Vallejo, CA","
                  81.79
              ","
                  76%
              ","
                  $29,200
              ","
                  $22,200
              ","
                  56%
              ","
                  61%
              ","
                  $91,460
              ","$13,470",NA/NA,No,910,83%,N/A,1%,"$6,000",4.2 years,"$25,000",85%
15,Maine Maritime Academy,"Castine, ME","
                  81.45
              ","
                  45%
              ","
                  $29,500
              ","
                  $19,800
              ","
                  67%
              ","
                  73%
              ","
                  $72,840
              ","$19,140",1110/24,No,990,72%,43%,5%,"$4,370",4.2 years,"$27,000",86%
16,University of Wisconsin-Madison,"Madison, WI","
                  81.41
              ","
                  54%
              ","
                  $27,900
              ","
                  $14,800
              ","
                  42%
              ","
                  87%
              ","
                  $65,210
              ","$3,980",1390/30,No,"31,190",77%,80%,7%,"$4,780",4.3 years,"$20,500",84%
17,"California State University, Long Beach","Long Beach, CA","
                  81.39
              ","
                  39%
              ","
                  $24,900
              ","
                  $11,200
              ","
                  72%
              ","
                  69%
              ","
                  $57,120
              ","$6,660",1150/23,No,"32,900",94%,53%,1%,"$3,640",4.7 years,"$14,882",72%
18,"California State University, Stanislaus","Turlock, CA","
                  81.37
              ","
                  89%
              ","
                  $24,300
              ","
                  $7,800
              ","
                  82%
              ","
                  58%
              ","
                  $53,960
              ","$4,120",NA/NA,No,"9,690",96%,89%,3%,"$1,900",4.9 years,"$14,146",70%
19,Berea College,"Berea, KY","
                  81.28
              ","
                  30%
              ","
                  $57,200
              ","
                  $5,200
              ","
                  100%
              ","
                  63%
              ","
                  $37,150
              ","$4,530",1190/25,No,"1,650",100%,93%,N/A,N/A,4.3 years,"$3,700",49%
20,Lehigh University,"Bethlehem, PA","
                  81.10
              ","
                  32%
              ","
                  $74,100
              ","
                  $30,700
              ","
                  52%
              ","
                  88%
              ","
                  $95,030
              ","$15,560",1370/31,No,"5,160",100%,98%,3%,"$5,360",4.1 years,"$23,000",91%
21,Virginia Polytechnic Institute and State University,"Blacksburg, VA","
                  80.97
              ","
                  70%
              ","
                  $28,500
              ","
                  $21,400
              ","
                  57%
              ","
                  83%
              ","
                  $73,160
              ","$11,930",1290/28,No,"29,200",75%,54%,9%,"$3,610",4.3 years,"$22,406",85%
22,Wellesley College,"Wellesley, MA","
                  80.54
              ","
                  22%
              ","
                  $80,500
              ","
                  $22,800
              ","
                  60%
              ","
                  93%
              ","
                  $66,530
              ","$9,670",1450/33,No,"2,390",97%,100%,N/A,N/A,4.1 years,"$10,700",80%
23,Bentley University,"Waltham, MA","
                  80.40
              ","
                  47%
              ","
                  $76,100
              ","
                  $45,200
              ","
                  75%
              ","
                  89%
              ","
                  $107,970
              ","$23,300",1320/29,No,"4,160",97%,85%,25%,"$20,120",4.1 years,"$25,000",92%
24,"California Polytechnic State University, San Luis Obispo","San Luis Obispo, CA","
                  80.31
              ","
                  28%
              ","
                  $29,700
              ","
                  $21,600
              ","
                  53%
              ","
                  82%
              ","
                  $80,640
              ","$12,170",1340/29,No,"20,450",84%,49%,7%,"$1,470",4.4 years,"$19,500",86%
25,University of Washington-Seattle Campus,"Seattle, WA","
                  79.77
              ","
                  52%
              ","
                  $30,100
              ","
                  $10,200
              ","
                  48%
              ","
                  83%
              ","
                  $68,930
              ","$5,190",1350/30,No,"30,840",87%,78%,10%,"$4,350",4.2 years,"$15,000",81%
26,Texas A & M University-College Station,"College Station, TX","
                  79.45
              ","
                  58%
              ","
                  $32,300
              ","
                  $21,000
              ","
                  62%
              ","
                  82%
              ","
                  $66,570
              ","$11,220",1280/29,No,"53,120",85%,69%,12%,"$4,360",4.4 years,"$18,265",82%
27,"California State Polytechnic University, Pomona","Pomona, CA","
                  79.35
              ","
                  55%
              ","
                  $29,000
              ","
                  $15,300
              ","
                  69%
              ","
                  71%
              ","
                  $63,730
              ","$10,350",1140/23,No,"26,370",80%,50%,N/A,N/A,4.7 years,"$16,500",78%
28,"California State University, Fresno","Fresno, CA","
                  78.95
              ","
                  58%
              ","
                  $22,900
              ","
                  $7,300
              ","
                  78%
              ","
                  54%
              ","
                  $52,200
              ","$3,860",1040/19,No,"21,160",88%,66%,3%,"$2,980",4.9 years,"$14,667",68%
29,"California State University, Fullerton","Fullerton, CA","
                  78.47
              ","
                  53%
              ","
                  $29,500
              ","
                  $8,800
              ","
                  68%
              ","
                  68%
              ","
                  $54,590
              ","$4,590",1120/22,No,"35,090",86%,87%,3%,"$1,620",4.8 years,"$14,000",73%
30,San Jose State University,"San Jose, CA","
                  78.41
              ","
                  64%
              ","
                  $29,800
              ","
                  $16,900
              ","
                  60%
              ","
                  65%
              ","
                  $67,370
              ","$12,160",1140/23,No,"27,720",89%,83%,N/A,N/A,4.9 years,"$15,513",80%
31,College of the Holy Cross,"Worcester, MA","
                  78.07
              ","
                  34%
              ","
                  $74,300
              ","
                  $33,900
              ","
                  64%
              ","
                  92%
              ","
                  $84,650
              ","$14,540",1350/30,No,"2,930",80%,100%,5%,"$20,390",4 years,"$27,000",83%
32,St. Olaf College,"Northfield, MN","
                  78.03
              ","
                  48%
              ","
                  $66,800
              ","
                  $29,400
              ","
                  96%
              ","
                  86%
              ","
                  $60,240
              ","$11,110",1310/29,No,"3,030",99%,97%,21%,"$19,250",4 years,"$24,533",72%
33,Iowa State University,"Ames, IA","
                  78.00
              ","
                  92%
              ","
                  $22,600
              ","
                  $17,000
              ","
                  97%
              ","
                  74%
              ","
                  $57,350
              ","$9,770",1220/25,No,"27,930",98%,79%,36%,"$4,060",4.4 years,"$22,754",79%
34,The University of Texas at Austin,"Austin, TX","
                  77.77
              ","
                  32%
              ","
                  $29,700
              ","
                  $17,800
              ","
                  49%
              ","
                  83%
              ","
                  $67,840
              ","$13,750",1360/30,No,"39,780",78%,66%,4%,"$1,900",4.2 years,"$20,250",80%
35,Stevens Institute of Technology,"Hoboken, NJ","
                  77.73
              ","
                  40%
              ","
                  $76,500
              ","
                  $42,600
              ","
                  95%
              ","
                  87%
              ","
                  $98,160
              ","$27,390",1420/33,No,"3,640",99%,66%,29%,"$19,120",4.4 years,"$27,000",93%
36,Boston College,"Chestnut Hill, MA","
                  77.64
              ","
                  27%
              ","
                  $80,800
              ","
                  $31,900
              ","
                  48%
              ","
                  92%
              ","
                  $93,020
              ","$10,210",1420/33,No,"9,640",90%,100%,2%,"$23,680",4 years,"$18,000",86%
37,Saint Johns University,"Collegeville, MN","
                  77.46
              ","
                  78%
              ","
                  $63,800
              ","
                  $29,700
              ","
                  99%
              ","
                  75%
              ","
                  $68,720
              ","$15,310",1090/25,No,"1,620",99%,90%,20%,"$17,980",4.1 years,"$27,000",85%
38,The College of New Jersey,"Ewing, NJ","
                  77.44
              ","
                  49%
              ","
                  $36,500
              ","
                  $26,000
              ","
                  43%
              ","
                  86%
              ","
                  $65,480
              ","$14,270",1260/28,No,"6,750",48%,44%,10%,"$5,340",4.2 years,"$23,250",86%
39,"University of California, Riverside","Riverside, CA","
                  77.38
              ","
                  57%
              ","
                  $36,500
              ","
                  $12,600
              ","
                  91%
              ","
                  74%
              ","
                  $58,880
              ","$6,810",1230/27,No,"22,020",96%,82%,2%,"$7,510",4.2 years,"$18,000",71%
40,Missouri University of Science and Technology,"Rolla, MO","
                  77.35
              ","
                  79%
              ","
                  $24,600
              ","
                  $14,200
              ","
                  84%
              ","
                  62%
              ","
                  $80,290
              ","$7,360",1330/29,No,"6,400",91%,80%,31%,"$8,800",4.8 years,"$23,750",84%
41,Lafayette College,"Easton, PA","
                  76.92
              ","
                  31%
              ","
                  $76,100
              ","
                  $30,300
              ","
                  55%
              ","
                  87%
              ","
                  $84,940
              ","$11,730",1350/31,No,"2,640",97%,100%,7%,"$27,560",4.1 years,"$17,500",84%
42,"California State University, Los Angeles","Los Angeles, CA","
                  76.88
              ","
                  48%
              ","
                  $29,900
              ","
                  $4,100
              ","
                  86%
              ","
                  48%
              ","
                  $52,000
              ","$1,890",990/18,No,"22,740",95%,63%,N/A,N/A,5.1 years,"$13,219",69%
43,CUNY Bernard M. Baruch College,"New York, NY","
                  76.68
              ","
                  43%
              ","
                  $34,700
              ","
                  $4,100
              ","
                  71%
              ","
                  66%
              ","
                  $67,140
              ",$490,1260/NA,No,"15,070",92%,N/A,3%,"$1,290",4.4 years,"$11,130",78%
44,Wake Forest University,"Winston-Salem, NC","
                  76.67
              ","
                  30%
              ","
                  $79,400
              ","
                  $27,800
              ","
                  48%
              ","
                  88%
              ","
                  $74,970
              ","$10,400",NA/NA,No,"5,290",97%,100%,5%,"$23,220",4 years,"$21,226",82%
45,University of Minnesota-Twin Cities,"Minneapolis, MN","
                  76.44
              ","
                  57%
              ","
                  $29,600
              ","
                  $18,700
              ","
                  56%
              ","
                  80%
              ","
                  $61,200
              ","$7,700",1370/29,No,"31,370",87%,75%,11%,"$5,090",4.2 years,"$19,500",81%
46,"University of California, Santa Barbara","Santa Barbara, CA","
                  76.35
              ","
                  30%
              ","
                  $38,000
              ","
                  $18,200
              ","
                  63%
              ","
                  82%
              ","
                  $66,490
              ","$10,570",1360/31,No,"23,340",95%,76%,2%,"$8,320",4.2 years,"$14,500",76%
47,"California State University, Chico","Chico, CA","
                  76.33
              ","
                  72%
              ","
                  $25,400
              ","
                  $17,000
              ","
                  64%
              ","
                  66%
              ","
                  $56,270
              ","$11,750",1090/21,No,"16,040",92%,59%,4%,"$2,200",4.7 years,"$16,931",73%
48,"California State University, Sacramento","Sacramento, CA","
                  76.30
              ","
                  82%
              ","
                  $28,600
              ","
                  $12,100
              ","
                  72%
              ","
                  51%
              ","
                  $56,810
              ","$8,160",1040/19,No,"28,720",96%,55%,N/A,N/A,4.9 years,"$15,000",76%
49,College of Saint Benedict,"Saint Joseph, MN","
                  76.21
              ","
                  80%
              ","
                  $64,000
              ","
                  $29,500
              ","
                  99%
              ","
                  79%
              ","
                  $56,370
              ","$17,110",1150/25,No,"1,740",95%,90%,25%,"$23,970",4.1 years,"$27,000",82%
50,"California State University, Dominguez Hills","Carson, CA","
                  76.20
              ","
                  77%
              ","
                  $26,900
              ","
                  $4,900
              ","
                  82%
              ","
                  45%
              ","
                  $47,340
              ","$2,660",NA/NA,No,"15,330",85%,31%,1%,"$3,770",5 years,"$14,019",69%
51,Dickinson College,"Carlisle, PA","
                  76.15
              ","
                  40%
              ","
                  $76,500
              ","
                  $39,400
              ","
                  80%
              ","
                  85%
              ","
                  $69,560
              ","$12,730",NA/NA,No,"2,100",98%,99%,15%,"$15,260",4 years,"$19,000",76%
52,"California State University, Northridge","Northridge, CA","
                  76.07
              ","
                  59%
              ","
                  $24,000
              ","
                  $9,400
              ","
                  75%
              ","
                  54%
              ","
                  $53,360
              ","$6,270",1020/19,No,"34,710",86%,N/A,17%,"$2,100",4.9 years,"$14,000",68%
53,"California State University, San Bernardino","San Bernardino, CA","
                  76.06
              ","
                  69%
              ","
                  $23,200
              ","
                  $9,000
              ","
                  80%
              ","
                  57%
              ","
                  $50,960
              ","$5,990",1000/17,No,"17,960",95%,61%,N/A,N/A,4.9 years,"$15,000",68%
54,San Diego State University,"San Diego, CA","
                  76.00
              ","
                  34%
              ","
                  $31,100
              ","
                  $13,900
              ","
                  53%
              ","
                  74%
              ","
                  $59,030
              ","$7,170",1220/26,No,"30,350",66%,65%,7%,"$2,530",4.5 years,"$15,000",74%
55,Trinity College,"Hartford, CT","
                  76.00
              ","
                  33%
              ","
                  $79,000
              ","
                  $27,700
              ","
                  51%
              ","
                  85%
              ","
                  $68,320
              ","$9,350",1370/31,No,"2,170",97%,100%,1%,"$51,980",4.1 years,"$23,000",86%
56,University of Illinois at Chicago,"Chicago, IL","
                  75.82
              ","
                  73%
              ","
                  $31,800
              ","
                  $13,300
              ","
                  72%
              ","
                  59%
              ","
                  $59,780
              ","$10,550",1150/25,No,"21,310",92%,66%,7%,"$5,360",4.5 years,"$17,250",76%
57,Purdue University,"West Lafayette, IN","
                  75.72
              ","
                  60%
              ","
                  $23,400
              ","
                  $13,000
              ","
                  50%
              ","
                  81%
              ","
                  $65,260
              ","$6,000",1320/29,No,"34,380",77%,78%,14%,"$5,380",4.3 years,"$19,500",82%
58,Colorado School of Mines,"Golden, CO","
                  75.68
              ","
                  53%
              ","
                  $38,200
              ","
                  $29,200
              ","
                  76%
              ","
                  83%
              ","
                  $90,060
              ","$16,980",1310/30,No,"5,100",58%,58%,33%,"$8,400",4.2 years,"$23,250",90%
59,Gettysburg College,"Gettysburg, PA","
                  75.65
              ","
                  48%
              ","
                  $76,500
              ","
                  $36,800
              ","
                  96%
              ","
                  82%
              ","
                  $65,930
              ","$14,210",NA/NA,No,"2,370",98%,90%,25%,"$19,700",4.1 years,"$26,930",87%
60,Michigan Technological University,"Houghton, MI","
                  75.64
              ","
                  74%
              ","
                  $32,200
              ","
                  $18,300
              ","
                  94%
              ","
                  68%
              ","
                  $73,540
              ","$5,520",1270/28,No,"5,680",77%,72%,27%,"$6,090",4.7 years,"$25,500",81%
61,"California State University, East Bay","Hayward, CA","
                  75.44
              ","
                  76%
              ","
                  $28,200
              ","
                  $14,000
              ","
                  68%
              ","
                  48%
              ","
                  $60,920
              ","$9,980",NA/NA,No,"13,100",94%,55%,N/A,N/A,4.9 years,"$15,500",76%
62,Gustavus Adolphus College,"Saint Peter, MN","
                  75.44
              ","
                  69%
              ","
                  $63,000
              ","
                  $28,200
              ","
                  97%
              ","
                  78%
              ","
                  $59,180
              ","$15,740",NA/NA,No,"2,220",85%,92%,25%,"$26,170",4.1 years,"$27,000",81%
63,SUNY Maritime College,"Throggs Neck, NY","
                  75.39
              ","
                  74%
              ","
                  $28,100
              ","
                  $19,500
              ","
                  55%
              ","
                  66%
              ","
                  $84,440
              ","$11,450",1180/25,No,"1,510",76%,26%,7%,"$1,700",4.5 years,"$23,250",86%
64,Michigan State University,"East Lansing, MI","
                  75.15
              ","
                  71%
              ","
                  $30,000
              ","
                  $17,600
              ","
                  60%
              ","
                  79%
              ","
                  $61,100
              ","$6,930",1210/26,Yes,"38,950",74%,53%,11%,"$8,980",4.3 years,"$23,733",79%
65,Bradley University,"Peoria, IL","
                  75.13
              ","
                  70%
              ","
                  $51,600
              ","
                  $27,300
              ","
                  96%
              ","
                  78%
              ","
                  $61,890
              ","$16,590",1170/25,No,"4,630",98%,75%,26%,"$12,930",4.3 years,"$27,000",79%
66,University of Connecticut,"Storrs, CT","
                  75.03
              ","
                  49%
              ","
                  $36,100
              ","
                  $23,500
              ","
                  65%
              ","
                  83%
              ","
                  $72,460
              ","$14,070",1310/29,No,"18,590",69%,59%,15%,"$9,530",4.2 years,"$21,500",82%
67,University of Maryland-College Park,"College Park, MD","
                  75.01
              ","
                  44%
              ","
                  $28,600
              ","
                  $18,600
              ","
                  51%
              ","
                  85%
              ","
                  $71,840
              ","$6,070",1380/32,No,"29,910",78%,62%,17%,"$5,840",4.2 years,"$19,500",83%
68,Centre College,"Danville, KY","
                  74.82
              ","
                  76%
              ","
                  $60,400
              ","
                  $24,000
              ","
                  98%
              ","
                  81%
              ","
                  $57,980
              ","$12,300",1260/29,No,"1,400",100%,89%,38%,"$29,020",4 years,"$27,000",73%
69,Towson University,"Towson, MD","
                  74.77
              ","
                  76%
              ","
                  $29,500
              ","
                  $17,000
              ","
                  56%
              ","
                  73%
              ","
                  $57,870
              ","$7,960",1140/23,No,"19,460",61%,60%,7%,"$4,850",4.4 years,"$18,750",78%
70,Worcester Polytechnic Institute,"Worcester, MA","
                  74.70
              ","
                  49%
              ","
                  $74,300
              ","
                  $48,400
              ","
                  94%
              ","
                  87%
              ","
                  $89,410
              ","$31,780",NA/NA,No,"4,660",98%,82%,38%,"$18,260",4.1 years,"$27,000",93%
71,George Mason University,"Fairfax, VA","
                  74.68
              ","
                  87%
              ","
                  $30,800
              ","
                  $19,300
              ","
                  59%
              ","
                  70%
              ","
                  $66,150
              ","$14,780",1220/27,No,"26,010",84%,54%,20%,"$3,530",4.4 years,"$19,750",80%
72,North Carolina State University at Raleigh,"Raleigh, NC","
                  74.28
              ","
                  45%
              ","
                  $25,200
              ","
                  $15,400
              ","
                  56%
              ","
                  78%
              ","
                  $61,350
              ","$7,280",1340/30,No,"24,240",94%,77%,6%,"$5,080",4.3 years,"$20,311",80%
73,Saint Mary's College,"Notre Dame, IN","
                  74.23
              ","
                  81%
              ","
                  $63,800
              ","
                  $28,600
              ","
                  98%
              ","
                  77%
              ","
                  $56,660
              ","$12,060",1160/26,No,"1,430",100%,87%,11%,"$21,820",4 years,"$27,000",78%
74,San Francisco State University,"San Francisco, CA","
                  74.21
              ","
                  67%
              ","
                  $27,900
              ","
                  $15,600
              ","
                  61%
              ","
                  55%
              ","
                  $60,130
              ","$10,710",1050/20,No,"25,130",86%,62%,2%,"$2,430",4.7 years,"$15,369",76%
75,The University of Texas Rio Grande Valley,"Edinburg, TX","
                  74.15
              ","
                  80%
              ","
                  $22,300
              ","
                  $4,700
              ","
                  84%
              ","
                  48%
              ","
                  $45,900
              ","$2,190",1040/20,Yes,"24,900",98%,71%,7%,"$2,330",4.6 years,"$12,981",59%
76,"California State University, San Marcos","San Marcos, CA","
                  74.06
              ","
                  62%
              ","
                  $25,800
              ","
                  $13,700
              ","
                  67%
              ","
                  55%
              ","
                  $54,810
              ","$9,400",1050/20,No,"14,770",91%,43%,1%,$940,4.9 years,"$17,134",72%
77,Citadel Military College of South Carolina,"Charleston, SC","
                  73.86
              ","
                  75%
              ","
                  $31,300
              ","
                  $18,900
              ","
                  65%
              ","
                  71%
              ","
                  $67,770
              ","$7,450",1140/23,No,"2,910",83%,67%,26%,"$16,140",4.1 years,"$23,000",84%
78,"California State University, Monterey Bay","Seaside, CA","
                  73.84
              ","
                  75%
              ","
                  $24,900
              ","
                  $14,800
              ","
                  69%
              ","
                  60%
              ","
                  $53,190
              ","$9,190",1060/20,No,"6,620",77%,75%,4%,"$1,830",4.6 years,"$13,750",69%
79,"University of California, Merced","Merced, CA","
                  73.80
              ","
                  72%
              ","
                  $37,700
              ","
                  $14,300
              ","
                  93%
              ","
                  66%
              ","
                  $61,150
              ","$10,360",1090/22,No,"8,150",99%,78%,N/A,"$9,980",4.4 years,"$17,500",71%
80,Thomas Jefferson University,"Philadelphia, PA","
                  73.71
              ","
                  66%
              ","
                  $63,500
              ","
                  $30,900
              ","
                  85%
              ","
                  62%
              ","
                  $67,810
              ","$21,410",1170/25,No,"3,600",91%,53%,13%,"$15,560",4.2 years,"$22,750",84%
81,Marquette University,"Milwaukee, WI","
                  73.64
              ","
                  83%
              ","
                  $64,400
              ","
                  $36,700
              ","
                  95%
              ","
                  85%
              ","
                  $72,490
              ","$18,590",1220/27,No,"8,260",98%,80%,38%,"$15,580",4.2 years,"$24,000",85%
82,Clarkson University,"Potsdam, NY","
                  73.59
              ","
                  75%
              ","
                  $74,300
              ","
                  $32,000
              ","
                  96%
              ","
                  76%
              ","
                  $81,360
              ","$16,670",1260/27,No,"2,980",99%,90%,18%,"$29,660",4.2 years,"$26,896",85%
83,Carleton College,"Northfield, MN","
                  73.54
              ","
                  19%
              ","
                  $79,300
              ","
                  $32,600
              ","
                  61%
              ","
                  93%
              ","
                  $67,130
              ","$6,210",1450/33,No,"2,070",100%,100%,1%,"$4,370",4.1 years,"$17,287",71%
84,University of Wisconsin-La Crosse,"La Crosse, WI","
                  73.38
              ","
                  73%
              ","
                  $18,400
              ","
                  $13,000
              ","
                  42%
              ","
                  70%
              ","
                  $54,140
              ","$7,520",NA/25,No,"9,460",67%,73%,7%,"$1,310",4.4 years,"$22,297",81%
85,James Madison University,"Harrisonburg, VA","
                  73.37
              ","
                  77%
              ","
                  $29,600
              ","
                  $19,600
              ","
                  35%
              ","
                  84%
              ","
                  $61,270
              ","$14,290",1210/26,No,"19,660",63%,35%,1%,"$6,730",4.2 years,"$20,500",82%
86,Simpson College,"Indianola, IA","
                  73.28
              ","
                  80%
              ","
                  $57,500
              ","
                  $21,600
              ","
                  96%
              ","
                  70%
              ","
                  $50,630
              ","$15,260",1140/22,No,"1,300",98%,82%,12%,"$26,440",4.1 years,"$26,000",76%
87,University of Northern Iowa,"Cedar Falls, IA","
                  73.27
              ","
                  79%
              ","
                  $21,900
              ","
                  $17,100
              ","
                  67%
              ","
                  65%
              ","
                  $49,560
              ","$10,510",1110/23,No,"8,790",56%,66%,18%,"$3,280",4.4 years,"$20,000",77%
88,Florida State University,"Tallahassee, FL","
                  73.20
              ","
                  36%
              ","
                  $23,800
              ","
                  $13,500
              ","
                  85%
              ","
                  82%
              ","
                  $53,450
              ","$4,950",1270/28,Yes,"32,880",91%,63%,8%,"$3,200",4.2 years,"$18,750",74%
89,Sonoma State University,"Rohnert Park, CA","
                  73.20
              ","
                  91%
              ","
                  $27,500
              ","
                  $18,200
              ","
                  60%
              ","
                  63%
              ","
                  $58,790
              ","$12,800",1070/20,No,"8,120",93%,57%,1%,"$1,340",4.5 years,"$17,999",75%
90,Binghamton University,"Vestal, NY","
                  73.19
              ","
                  41%
              ","
                  $28,400
              ","
                  $20,100
              ","
                  57%
              ","
                  82%
              ","
                  $72,980
              ","$13,380",1360/31,No,"14,160",86%,73%,5%,"$9,260",4.1 years,"$18,750",79%
91,Indiana University-Bloomington,"Bloomington, IN","
                  73.03
              ","
                  78%
              ","
                  $26,900
              ","
                  $13,900
              ","
                  71%
              ","
                  78%
              ","
                  $58,810
              ","$5,750",1260/28,No,"32,790",81%,70%,31%,"$7,100",4.2 years,"$19,500",75%
92,DePauw University,"Greencastle, IN","
                  72.88
              ","
                  64%
              ","
                  $70,800
              ","
                  $31,900
              ","
                  96%
              ","
                  85%
              ","
                  $62,460
              ","$19,500",1250/27,No,"1,940",97%,88%,40%,"$27,000",4 years,"$27,000",75%
93,Santa Clara University,"Santa Clara, CA","
                  72.88
              ","
                  49%
              ","
                  $75,000
              ","
                  $51,000
              ","
                  72%
              ","
                  91%
              ","
                  $93,290
              ","$26,430",1360/30,No,"5,680",70%,85%,33%,"$16,360",4.1 years,"$19,500",87%
94,University of Georgia,"Athens, GA","
                  72.87
              ","
                  45%
              ","
                  $28,400
              ","
                  $17,500
              ","
                  88%
              ","
                  84%
              ","
                  $59,770
              ","$8,300",1330/30,Yes,"29,730",93%,74%,3%,"$3,240",4.3 years,"$18,625",77%
95,Franklin & Marshall College,"Lancaster, PA","
                  72.84
              ","
                  30%
              ","
                  $80,200
              ","
                  $29,600
              ","
                  63%
              ","
                  83%
              ","
                  $72,230
              ","$14,020",NA/NA,No,"2,310",100%,100%,1%,"$10,290",4.1 years,"$19,500",79%
96,"California State University, Channel Islands","Camarillo, CA","
                  72.81
              ","
                  86%
              ","
                  $28,700
              ","
                  $15,900
              ","
                  70%
              ","
                  55%
              ","
                  $51,900
              ","$12,010",NA/NA,No,"7,090",N/A,N/A,N/A,N/A,4.7 years,"$15,312",72%
97,Rensselaer Polytechnic Institute,"Troy, NY","
                  72.71
              ","
                  47%
              ","
                  $77,900
              ","
                  $42,900
              ","
                  87%
              ","
                  86%
              ","
                  $93,420
              ","$22,880",1390/31,No,"6,200",100%,18%,30%,"$23,110",4.2 years,"$24,194",90%
98,Simmons University,"Boston, MA","
                  72.71
              ","
                  73%
              ","
                  $61,400
              ","
                  $30,600
              ","
                  95%
              ","
                  80%
              ","
                  $56,050
              ","$21,080",1200/26,No,"1,740",100%,84%,26%,"$21,960",4.1 years,"$25,000",78%
