,company_names_lst,company_code_lst,market_cap_lst,industries_for_company_lst,overall_rating,num_reviews_dist,work_life_balance,compensation_benefits,job_security_advancements,management,culture
52,Union Pacific Corporation,UNP,$131.69 B,"['Railways', 'Transportation', 'Infrastructure']",2.8,"['373', '398', '497', '357', '653']",2.2,3.8,2.3,2.2,2.5
53,AMD,AMD,$128.58 B,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware']",3.8,"['146', '217', '135', '33', '19']",3.8,3.7,3.1,3.3,3.6
54,IBM,IBM,$125.90 B,"['Tech', 'Software', 'Dow jones']",3.9,"['10.7K', '11.4K', '6.6K', '1.7K', '1.1K']",3.9,3.5,3.5,3.5,3.7
55,CVS Health,CVS,$123.49 B,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",3.2,"['6.5K', '6.8K', '7.3K', '3.8K', '4.8K']",3.1,3.1,2.9,2.9,3.0
56,Charles Schwab,SCHW,$122.04 B,"['Financial services', 'Banks']",3.9,"['590', '458', '248', '108', '72']",3.9,3.8,3.4,3.5,3.8
57,S&P Global,SPGI,$119.80 B,['Financial services'],3.9,"['483', '510', '277', '70', '52']",4.0,3.8,3.5,3.5,3.7
58,American Tower,AMT,$118.50 B,"['Telecommunication', 'Real estate', 'REITs', 'Infrastructure']",3.8,"['100', '125', '53', '24', '25']",3.6,3.8,3.1,3.3,3.5
59,Honeywell,HON,$117.99 B,"['Dow jones', 'Aerospace', 'Defense contractors']",3.7,"['2.9K', '3.2K', '2K', '830', '712']",3.5,3.5,3.2,3.3,3.4
60,Anthem,ANTM,$116.34 B,"['Healthcare', 'Insurance']",2.8,"['4', '8', '11', '8', '9']",2.6,3.6,2.4,2.1,2.4
61,Lowe's Companies,LOW,$116.08 B,['Retail'],3.5,"['12.5K', '14.4K', '11.9K', '4.9K', '5.2K']",3.3,3.4,3.1,3.0,3.3
62,Intuit,INTU,$114.75 B,"['Software', 'Tech']",4.2,"['948', '462', '196', '89', '81']",4.1,4.1,3.5,3.7,4.1
63,Lockheed Martin,LMT,$111.85 B,"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']",4.0,"['3.6K', '3.1K', '1.5K', '430', '327']",3.9,4.0,3.5,3.5,3.7
64,ConocoPhillips,COP,$111.83 B,"['Oil&Gas', 'Energy']",4.1,"['574', '428', '194', '56', '35']",4.1,4.2,3.4,3.6,3.9
65,American Express,AXP,$106.75 B,"['Dow jones', 'Financial services']",4.1,"['4K', '2.8K', '1.3K', '374', '382']",4.0,4.0,3.6,3.7,4.0
66,Goldman Sachs,GS,$101.82 B,"['Banks', 'Dow jones', 'Financial services']",4.0,"['741', '650', '363', '97', '86']",3.2,3.9,3.5,3.5,3.7
67,ServiceNow,NOW,$99.05 B,"['Software', 'Internet', 'Tech']",3.6,"['65', '56', '49', '15', '21']",3.5,3.9,3.1,3.0,3.4
68,Caterpillar,CAT,$95.52 B,"['Dow jones', 'Machinery manufacturing', 'Manufacturing']",3.8,"['2.8K', '2.2K', '1.4K', '518', '596']",3.7,3.8,3.2,3.3,3.6
69,BlackRock,BLK,$93.86 B,['Investment'],2.8,"['3', '1', '4', '2', '4']",2.6,3.1,2.5,2.4,2.4
70,Deere & Company,DE,$93.10 B,"['Machinery manufacturing', 'Manufacturing']",4.0,"['1.6K', '1.2K', '581', '182', '208']",3.8,3.9,3.4,3.5,3.8
71,Starbucks,SBUX,$90.92 B,['Beverages'],3.9,"['19.6K', '18.3K', '10.2K', '3.3K', '2.3K']",3.7,3.8,3.6,3.4,3.9
72,Citigroup,C,$90.92 B,"['Banks', 'Financial services']",3.9,"['6.7K', '6.1K', '3.9K', '1.1K', '889']",3.7,3.9,3.5,3.5,3.7
73,Automatic Data Processing,ADP,$90.76 B,"['Software', 'IT services', 'Professional services', 'Tech']",3.8,"['2.3K', '2.3K', '1.5K', '489', '408']",3.7,3.7,3.4,3.4,3.6
74,Prologis,PLD,$90.01 B,"['Real estate', 'Investment', 'REITs']",3.9,"['40', '30', '21', '6', '6']",3.7,3.9,3.3,3.4,3.7
75,Estee Lauder,EL,$89.86 B,,4.0,"['1K', '646', '349', '122', '104']",3.8,3.7,3.6,3.6,3.9
76,Cigna,CI,$88.57 B,['Insurance'],3.7,"['1.6K', '1.4K', '996', '416', '450']",3.6,3.6,3.2,3.3,3.5
77,Mondelez,MDLZ,$86.41 B,['Food'],4.0,"['2.1K', '1.4K', '837', '296', '315']",3.7,3.9,3.4,3.5,3.7
78,PayPal,PYPL,$85.03 B,"['Financial services', 'Tech', 'Internet', 'Bitcoin']",3.9,"['594', '503', '281', '111', '91']",3.8,4.0,3.4,3.4,3.8
